sample,fluid,percentage,time(days),start_date,end_date,decalcified
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,7,06/03/2023,13/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,7,06/03/2023,13/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,7,06/03/2023,13/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,7,06/03/2023,13/03/2023,yes
premolar_tooth,nitric_acid,5%,8,06/03/2023,14/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
premolar_tooth,nitric_acid,5%,9,06/03/2023,15/03/2023,yes
premolar_tooth,nitric_acid,5%,10,06/03/2023,16/03/2023,yes
